Date,Price,Open,High,Low,Vol.,Change %
2021-01-02,0.2207,0.2375,0.2375,0.2194,137.57M,-0.07
2021-01-03,0.2248,0.221,0.2289,0.221,157.44M,0.0186
2021-01-04,0.2358,0.2252,0.2358,0.2252,227.94M,0.0489
2021-01-05,0.2258,0.2359,0.236,0.2249,167.06M,-0.0424
2021-01-06,0.2485,0.2261,0.2495,0.2257,250.65M,0.1005
2021-01-07,0.3231,0.2491,0.3467,0.2491,573.87M,0.3002
2021-01-08,0.3209,0.324,0.324,0.3062,351.77M,-0.0068
2021-01-09,0.3246,0.3217,0.3263,0.3171,185.68M,0.0115
2021-01-10,0.3151,0.3246,0.3566,0.3151,256.99M,-0.0293
2021-01-11,0.2875,0.3151,0.3151,0.2726,300.20M,-0.0876
2021-01-12,0.2924,0.287,0.2975,0.287,147.25M,0.017
2021-01-13,0.3057,0.2924,0.3057,0.2924,91.53M,0.0455
2021-01-14,0.2966,0.3057,0.308,0.295,105.98M,-0.0298
2021-01-15,0.2802,0.2966,0.2966,0.2787,110.33M,-0.0553
2021-01-16,0.2794,0.2801,0.2913,0.2789,83.16M,-0.0029
2021-01-17,0.2774,0.2792,0.2823,0.2734,56.80M,-0.0072
2021-01-18,0.2855,0.2773,0.2855,0.2744,63.58M,0.0292
2021-01-19,0.294,0.2855,0.313,0.2855,149.06M,0.0298
2021-01-20,0.2951,0.2945,0.2951,0.2868,123.80M,0.0037
2021-01-21,0.2678,0.2952,0.2974,0.2678,152.48M,-0.0925
2021-01-22,0.2725,0.2684,0.2752,0.2587,155.23M,0.0176
2021-01-23,0.2716,0.2723,0.2785,0.2716,66.56M,-0.0033
2021-01-24,0.2732,0.2716,0.2751,0.2713,45.20M,0.0059
2021-01-25,0.2676,0.2734,0.2779,0.2676,63.85M,-0.0205
2021-01-26,0.2684,0.2674,0.2684,0.2619,48.46M,0.003
2021-01-27,0.2507,0.2684,0.2684,0.2507,66.18M,-0.0659
2021-01-28,0.2642,0.2504,0.2665,0.2504,56.23M,0.0538
2021-01-29,0.2827,0.2644,0.2879,0.2644,266.89M,0.07
2021-01-30,0.444,0.283,0.444,0.283,731.28M,0.5706
2021-01-31,0.4951,0.4453,0.4951,0.4145,546.25M,0.1151
2021-02-01,0.3717,0.4954,0.6036,0.3717,786.70M,-0.2492
2021-02-02,0.3727,0.3713,0.3938,0.3511,311.19M,0.0027
2021-02-03,0.3973,0.3729,0.3973,0.3729,165.16M,0.066
2021-02-04,0.4443,0.3974,0.4524,0.3861,269.11M,0.1183
2021-02-05,0.4523,0.4464,0.4533,0.4382,178.73M,0.018
2021-02-06,0.4428,0.452,0.452,0.4317,87.19M,-0.021
2021-02-07,0.4185,0.4439,0.4439,0.4161,124.58M,-0.0549
